0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
-0.06111111,-0.5222222,-0.54444444,0.22222222,-0.5555556,0.78333336,-0.13333334,5.587076,-8.454405,7.8896236,7.298986,-1.5893033,-1.1717155,8.920749,127,-116,8,24,62,-168,-129,0.01155703,-0.6225028,-0.56431496,0.2838645,-0.09801658,0.29115644,-1.1333333,7.266814,-10.028056,-1.987054,6.164227,45.7539,-49.21769,-100
-0.75,0.6888889,0.23333333,0.5222222,-0.011111111,0.54444444,0.21666667,8.280541,-7.4577227,2.6028976,-6.960682,8.34315,-4.5248284,-8.889742,-17,21,117,-47,158,116,167,-0.6948225,0.6145289,0.21312322,0.48156616,0.24759862,0.90590626,1.2166667,5.517751,-7.435997,-2.0210123,-4.065606,25.870972,36.146183,100
0.11111111,-0.16111112,0.42222223,0.33888888,-0.6388889,0.67777777,-0.8388889,-2.0948508,-2.8694859,-2.8462744,-4.9610925,-6.356112,-9.27558,2.0477564,28,34,147,23,-54,186,82,-0.17587553,-0.20417996,0.87059814,0.32412094,-1.1269134,1.06458,0.16111112,-28.698664,-4.306885,44.83759,-1.4767944,-48.802456,38.680218,100
0.8833333,0.55,-0.5555556,0.5777778,-0.19444445,0.32222223,0.56666666,8.74768,2.7895882,1.7436055,4.300734,-8.038526,-0.86061037,-3.8029737,-95,196,-166,-93,181,138,64,0.87814695,0.55095154,-0.7035288,0.7315777,0.60000235,1.0313383,0.98844415,-0.51864105,0.09515355,-14.797326,15.379989,79.44468,70.911606,42.17775
0.49444443,-0.1,0.6,-0.6388889,0.93333334,-0.48333332,0.8888889,-8.570271,-4.5325627,5.739811,8.143096,8.198141,2.1511872,-5.6271815,-9,53,-59,-121,63,-50,-189,0.5134937,-0.14834456,0.50550026,-0.49875087,1.897278,-0.35968888,-0.11111111,1.9049245,-4.834456,-9.449977,14.013802,96.394455,12.364446,-100
-0.7722222,-0.47777778,-0.9611111,-0.08888889,-0.15,0.7722222,-0.8388889,-2.0944235,-4.8520145,-1.7825729,-9.81669,-1.9123644,-9.9484415,-6.1459556,59,-2,-92,65,-15,111,18,-0.7043593,-0.49021506,-1.2031393,-0.031496614,0.010552376,1.1134715,-0.6035795,6.786294,-1.2437294,-24.202816,5.739228,16.055237,34.124924,23.530935
-0.8388889,0.027777778,-0.41666666,-0.7,0.22222222,0.6611111,0.06666667,4.8862514,7.186355,-6.646372,-9.16988,2.7848291,5.963054,-3.2865648,23,200,-167,-121,52,-4,-36,-0.3214831,0.13498598,-1.0953608,-0.74439985,0.695241,0.7422972,-0.80128545,51.740578,10.72082,-67.86941,-4.439983,47.301876,8.118609,-86.79521
-0.06666667,0.43333334,0.6333333,-0.17777778,-0.19444445,0.78333336,-0.5555556,4.2086983,9.319655,-7.0888677,-4.8094015,-5.404746,-4.367697,-6.75413,-189,62,-101,-190,185,111,158,-0.019873999,0.48553312,0.037800904,-0.25909397,0.5448907,0.92816746,0.44444445,4.679267,5.21998,-59.55324,-8.131618,73.93352,14.483416,100
0.90555555,-0.9222222,-1,-0.42222223,0.12222222,0.9,0.64444447,-9.475663,-6.8834095,9.636806,7.5227113,-8.452245,-0.17316516,-9.369827,-68,-89,120,-114,-181,-50,-43,0.81601804,-1.0599275,-0.45638886,-0.49324256,-0.87777776,0.40314722,0.4034925,-8.95375,-13.77053,54.361115,-7.102035,-100,-49.68528,-24.095194
-0.93333334,-0.6944444,0.011111111,0.8055556,0.1,-0.03888889,0.25,-2.833787,5.726203,-7.1968355,4.573164,0.35373843,-8.893395,9.910962,112,-127,-49,149,136,173,147,-0.8957353,-0.61976403,-0.2010928,1.0162865,0.52516484,0.773212,1.25,3.7598014,7.468041,-21.22039,21.073092,42.516483,81.21009,100
0.98333335,-0.06111111,0.2777778,-0.24444444,0.9222222,0.2,-0.32777777,6.4918785,2.0749526,0.9678618,-7.5570464,6.3033257,5.0472393,-6.908955,63,-81,131,-17,-127,112,-89,1.0640944,-0.012935808,0.4987229,-0.26991627,0.4352739,0.33682942,-1.3277777,8.076104,4.81753,22.094513,-2.547183,-48.694836,13.682943,-100
